Id,lat_y,lon_y
0.0,-8.055648333333332,-34.95159433333333
3.0,-8.055648333333332,-34.95159433333333
8.0,-8.055631333333332,-34.95159733333333
10.0,-8.055648333333332,-34.95159433333333
12.0,-8.055648333333332,-34.95159433333333
14.0,-8.055648333333332,-34.95159433333333
17.0,-8.055648333333332,-34.95159433333333
19.0,-8.055648333333332,-34.95159433333333
23.0,-8.055648333333332,-34.95159433333333
29.0,-8.055648333333332,-34.95159433333333
30.0,-8.055511666666668,-34.95167166666666
31.0,-8.055648333333332,-34.95159433333333
33.0,-8.055648333333332,-34.95159433333333
36.0,-8.055648333333332,-34.95159433333333
37.0,-8.055648333333332,-34.95159433333333
39.0,-8.055648333333332,-34.95159433333333
41.0,-8.055648333333332,-34.95159433333333
46.0,-8.055648333333332,-34.95159433333333
47.0,-8.055648333333332,-34.95159433333333
48.0,-8.055648333333332,-34.95159433333333
50.0,-8.055648333333332,-34.95159433333333
56.0,-8.055648333333332,-34.95159433333333
58.0,-8.055648333333332,-34.95159433333333
59.0,-8.055648333333332,-34.95159433333333
61.0,-8.055648333333332,-34.95159433333333
65.0,-8.055648333333332,-34.95159433333333
68.0,-8.055648333333332,-34.95159433333333
69.0,-8.055648333333332,-34.95159433333333
70.0,-8.055648333333332,-34.95159433333333
73.0,-8.055708,-34.951554333333334
76.0,-8.055708,-34.951554333333334
79.0,-8.055708,-34.951554333333334
80.0,-8.055708,-34.951554333333334
81.0,-8.055708,-34.951554333333334
87.0,-8.055708,-34.951554333333334
88.0,-8.055708,-34.951554333333334
91.0,-8.055708,-34.951554333333334
92.0,-8.055708,-34.951554333333334
93.0,-8.055708,-34.951554333333334
95.0,-8.055708,-34.951554333333334
96.0,-8.055708,-34.951554333333334
99.0,-8.055708000000001,-34.951554333333334
100.0,-8.055708000000001,-34.951554333333334
101.0,-8.055708,-34.951554333333334
102.0,-8.055708,-34.951554333333334
103.0,-8.055708,-34.951554333333334
104.0,-8.055708,-34.951554333333334
106.0,-8.055708,-34.951554333333334
107.0,-8.055708,-34.951554333333334
108.0,-8.055708,-34.951554333333334
111.0,-8.055708,-34.951554333333334
118.0,-8.055648333333332,-34.95159433333333
119.0,-8.055648333333332,-34.95159433333333
122.0,-8.055648333333332,-34.95159433333333
131.0,-8.055648333333332,-34.95159433333333
132.0,-8.055648333333332,-34.95159433333333
135.0,-8.055648333333332,-34.95159433333333
144.0,-8.055648333333332,-34.95159433333333
149.0,-8.055648333333332,-34.95159433333333
151.0,-8.055648333333332,-34.95159433333333
157.0,-8.055648333333332,-34.95159433333333
164.0,-8.055648333333332,-34.95159433333333
167.0,-8.055648333333332,-34.95159433333333
168.0,-8.055648333333332,-34.95159433333333
169.0,-8.055648333333332,-34.95159433333333
172.0,-8.055648333333332,-34.95159433333333
176.0,-8.055648333333332,-34.95159433333333
177.0,-8.055648333333332,-34.95159433333333
179.0,-8.055572,-34.95171666666666
180.0,-8.055691,-34.951557333333334
181.0,-8.055572,-34.951596333333335
185.0,-8.055691,-34.951557333333334
196.0,-8.055691,-34.951557333333334
199.0,-8.055691,-34.951557333333334
209.0,-8.055572,-34.95171666666666
211.0,-8.055572,-34.95171666666666
212.0,-8.055572,-34.95171666666666
214.0,-8.055572,-34.95171666666666
217.0,-8.055572,-34.95171666666666
218.0,-8.055572,-34.95171666666666
221.0,-8.055572,-34.95171666666666
222.0,-8.055572,-34.95171666666666
229.0,-8.055572,-34.95171666666666
230.0,-8.055648333333332,-34.95159433333333
233.0,-8.055648333333332,-34.95159433333333
239.0,-8.055648333333332,-34.95159433333333
245.0,-8.055648333333332,-34.95159433333333
247.0,-8.055606333333333,-34.95160966666666
248.0,-8.055648333333332,-34.95159433333333
251.0,-8.055648333333332,-34.95159433333333
252.0,-8.055648333333334,-34.95159433333333
257.0,-8.055648333333334,-34.95159433333333
263.0,-8.055648333333334,-34.95159433333333
265.0,-8.055648333333334,-34.95159433333333
267.0,-8.055801333333333,-34.951492333333334
274.0,-8.055589666666666,-34.951692
286.0,-8.055572,-34.95171666666666
288.0,-8.055572,-34.95171666666666
291.0,-8.055572,-34.95171666666666
292.0,-8.055572,-34.95171666666666
300.0,-8.055572,-34.95171666666666
304.0,-8.055692,-34.951601333333336
308.0,-8.055572,-34.95171666666666
311.0,-8.055572,-34.95171666666666
315.0,-8.055691,-34.951557333333334
316.0,-8.055691,-34.951557333333334
318.0,-8.055691,-34.951557333333334
319.0,-8.055691,-34.951557333333334
321.0,-8.055691,-34.951557333333334
323.0,-8.055432333333334,-34.951547999999995
328.0,-8.055691,-34.951557333333334
330.0,-8.055691,-34.951557333333334
332.0,-8.055691,-34.951557333333334
333.0,-8.055691,-34.951557333333334
334.0,-8.055691,-34.951557333333334
335.0,-8.055691,-34.951557333333334
337.0,-8.055560666666667,-34.95151766666667
346.0,-8.055560666666667,-34.95151766666667
349.0,-8.055560666666667,-34.95151766666667
350.0,-8.055560666666667,-34.95151766666667
353.0,-8.055560666666667,-34.95151766666667
354.0,-8.055588,-34.95154933333333
360.0,-8.055478666666666,-34.951658333333334
367.0,-8.055469666666667,-34.951687
379.0,-8.055469666666667,-34.951687
381.0,-8.055648333333332,-34.95159433333333
385.0,-8.055455,-34.951733999999995
388.0,-8.055455,-34.951733999999995
393.0,-8.055455,-34.951733999999995
394.0,-8.055455,-34.951733999999995
400.0,-8.055497,-34.951718666666665
401.0,-8.055497,-34.951718666666665
402.0,-8.055497,-34.951718666666665
408.0,-8.055615333333334,-34.951581
409.0,-8.055615333333334,-34.951581
411.0,-8.055615333333334,-34.951581
415.0,-8.055615333333334,-34.951581
416.0,-8.055615333333334,-34.951581
427.0,-8.055464,-34.95170533333333
429.0,-8.055464,-34.95170533333333
433.0,-8.055464,-34.95170533333333
435.0,-8.055464,-34.95170533333333
439.0,-8.055464,-34.95170533333333
445.0,-8.055464,-34.95170533333333
447.0,-8.055497,-34.951718666666665
449.0,-8.055497,-34.951718666666665
453.0,-8.055497,-34.951718666666665
455.0,-8.05553,-34.951732
457.0,-8.055455,-34.951733999999995
461.0,-8.055497,-34.951718666666665
462.0,-8.055497,-34.951718666666665
465.0,-8.055648333333332,-34.95159433333333
468.0,-8.055648333333332,-34.95159433333333
472.0,-8.055648333333332,-34.95159433333333
473.0,-8.055422,-34.95172066666667
474.0,-8.055648333333332,-34.95159433333333
476.0,-8.055648333333332,-34.95159433333333
477.0,-8.055464,-34.95170533333333
483.0,-8.055648333333332,-34.95159433333333
485.0,-8.055648333333332,-34.95159433333333
486.0,-8.055648333333332,-34.95159433333333
487.0,-8.055648333333332,-34.95159433333333
495.0,-8.055588,-34.95154933333333
496.0,-8.055588,-34.95154933333333
500.0,-8.055588,-34.95154933333333
503.0,-8.055588,-34.95154933333333
509.0,-8.055588,-34.95154933333333
510.0,-8.055588,-34.95154933333333
511.0,-8.055606666666668,-34.951329666666666
513.0,-8.055588,-34.95154933333333
518.0,-8.055544666666668,-34.95156466666666
524.0,-8.055544666666668,-34.95156466666666
528.0,-8.055588,-34.95154933333333
530.0,-8.055588,-34.95154933333333
532.0,-8.055544666666668,-34.95156466666666
533.0,-8.055544666666668,-34.95156466666666
538.0,-8.055544666666668,-34.95156466666666
540.0,-8.055544666666668,-34.95156466666666
543.0,-8.055544666666668,-34.95156466666666
544.0,-8.055544666666668,-34.95156466666666
550.0,-8.055544666666668,-34.95156466666666
551.0,-8.055544666666668,-34.95156466666666
554.0,-8.055544666666668,-34.95156466666666
555.0,-8.055544666666668,-34.95156466666666
563.0,-8.055544666666668,-34.95156466666666
564.0,-8.055590666666667,-34.95137666666667
567.0,-8.055590666666667,-34.95137666666667
568.0,-8.055590666666667,-34.95137666666667
576.0,-8.055590666666667,-34.95137666666667
577.0,-8.055567666666667,-34.951591
582.0,-8.055604333333333,-34.951645
