ponto_id,lat,lon
0,-8.05560500000001,-34.951728
3,-8.05560500000001,-34.951728
8,-8.05560500000001,-34.951728
10,-8.05560500000001,-34.951728
12,-8.05560500000001,-34.951728
14,-8.05560500000001,-34.951728
17,-8.05560500000001,-34.951728
19,-8.05560500000001,-34.951728
23,-8.05560500000001,-34.951728
29,-8.05560500000001,-34.951728
30,-8.05560500000001,-34.951728
31,-8.05560500000001,-34.951728
33,-8.05560500000001,-34.951728
36,-8.05560500000001,-34.951728
37,-8.05560500000001,-34.951728
39,-8.05560500000001,-34.951728
41,-8.05560500000001,-34.951728
46,-8.05560500000001,-34.951728
47,-8.05560500000001,-34.951728
48,-8.05560500000001,-34.951728
50,-8.05560500000001,-34.951728
56,-8.05560500000001,-34.951728
58,-8.05560500000001,-34.951728
59,-8.05560500000001,-34.951728
61,-8.05560500000001,-34.951728
65,-8.05560500000001,-34.951728
68,-8.05560500000001,-34.951728
69,-8.05560500000001,-34.951728
70,-8.05560500000001,-34.951728
73,-8.05560500000001,-34.951728
76,-8.05560500000001,-34.951728
79,-8.05560500000001,-34.951728
80,-8.05560500000001,-34.951728
81,-8.05560500000001,-34.951728
87,-8.05560500000001,-34.951728
88,-8.05560500000001,-34.951728
91,-8.05560500000001,-34.951728
92,-8.05560500000001,-34.951728
93,-8.05560500000001,-34.951728
95,-8.05560500000001,-34.951728
96,-8.05560500000001,-34.951728
99,-8.05560500000001,-34.951728
100,-8.05560500000001,-34.951728
101,-8.05560500000001,-34.951728
102,-8.05560500000001,-34.951728
103,-8.05560500000001,-34.951728
104,-8.05560500000001,-34.951728
106,-8.05560500000001,-34.951728
107,-8.05560500000001,-34.951728
108,-8.05560500000001,-34.951728
111,-8.05560500000001,-34.951728
118,-8.05560500000001,-34.951728
119,-8.05560500000001,-34.951728
122,-8.05560500000001,-34.951728
131,-8.05560500000001,-34.951728
132,-8.05560500000001,-34.951728
135,-8.05560500000001,-34.951728
144,-8.05560500000001,-34.951728
149,-8.05560500000001,-34.951728
151,-8.05560500000001,-34.951728
157,-8.05560500000001,-34.951728
164,-8.05560500000001,-34.951728
167,-8.05560500000001,-34.951728
168,-8.05560500000001,-34.951728
169,-8.05560500000001,-34.951728
172,-8.05560500000001,-34.951728
176,-8.05560500000001,-34.951728
177,-8.05560500000001,-34.951728
179,-8.05560500000001,-34.951728
180,-8.05560500000001,-34.951728
